DateTime_start,date,duration,T,Rh,Cₐ,PAR_instruction,Ri_PAR_f,Scenario,Sequence,Plant,transpiration_diff_g_s,transpiration_linear_g_s,CO2_outflux_umol_s,Wind
2021-03-13T14:24:30.0,2021-03-13T14:24:30.0,5 minutes,32.300000000000004,0.5579090909090908,395.0,0.35,227.129,Cloudy,4,5,0.005706270627063595,0.00504847190922432,0.917041545,10.0
2021-03-13T14:34:30.0,2021-03-13T14:34:30.0,5 minutes,32.300000000000004,0.5670909090909092,395.90909090909093,0.34,220.63960000000003,Cloudy,4,5,0.005674342105264354,0.00538161646304645,0.902286967,10.0
2021-03-13T14:44:30.0,2021-03-13T14:44:30.0,5 minutes,32.09090909090909,0.569,395.8181818181818,0.3318181818181818,215.3300909090909,Cloudy,4,5,0.004358490566037633,0.003163027560746407,0.884520463,10.0
2021-03-13T14:54:30.0,2021-03-13T14:54:30.0,5 minutes,31.9,0.5827272727272728,395.8181818181818,0.33,214.15020000000004,Cloudy,4,5,0.005085245901639118,0.004439431237112327,0.867414191,10.0
2021-03-13T15:04:30.0,2021-03-13T15:04:30.0,5 minutes,31.86363636363637,0.5837272727272728,396.3636363636364,0.31727272727272726,205.89096363636364,Cloudy,4,5,0.004867986798679568,0.004355793663397648,0.848662521,10.0
2021-03-13T15:14:30.0,2021-03-13T15:14:30.0,5 minutes,31.718181818181822,0.5909090909090909,397.0,0.3018181818181818,195.86189090909093,Cloudy,4,5,0.004864238410596195,0.004081307773868229,0.829711393,10.0
2021-03-13T15:24:30.0,2021-03-13T15:24:30.0,5 minutes,31.4,0.6118181818181819,397.0,0.29,188.1926,Cloudy,4,5,0.0042748344370851414,0.004158799328210923,0.789739115,10.0
2021-03-13T15:34:30.0,2021-03-13T15:34:30.0,5 minutes,31.25454545454545,0.6195454545454545,398.27272727272725,0.2772727272727273,179.93336363636365,Cloudy,4,5,0.003908196721311499,0.004009448101563328,0.756042386,10.0
2021-03-13T15:44:30.0,2021-03-13T15:44:30.0,5 minutes,31.045454545454547,0.6329090909090909,398.8181818181818,0.26181818181818184,169.90429090909095,Cloudy,4,5,0.0027148148148154615,0.0019544149947730944,0.718322723,10.0
2021-03-13T15:54:30.0,2021-03-13T15:54:30.0,5 minutes,30.736363636363635,0.6448181818181818,399.27272727272725,0.25,162.235,Cloudy,4,5,0.0037960526315789353,0.0035441165601548972,0.679404406,10.0
2021-03-13T16:04:30.0,2021-03-13T16:04:30.0,5 minutes,30.5,0.6612727272727272,400.1818181818182,0.23727272727272727,153.97576363636364,Cloudy,4,5,0.003590759075908227,0.0035253952319968017,0.641438618,10.0
2021-03-13T16:14:30.0,2021-03-13T16:14:30.0,5 minutes,30.4,0.6719999999999999,400.8181818181818,0.22181818181818183,143.94669090909093,Cloudy,4,5,0.0021953642384106324,0.0023868310288638985,0.594759964,10.0
2021-03-13T16:24:30.0,2021-03-13T16:24:30.0,5 minutes,30.263636363636362,0.6757272727272726,400.6363636363636,0.21,136.2774,Cloudy,4,5,0.002917218543045888,0.002449683717686182,0.556787138,10.0
2021-03-13T16:34:30.0,2021-03-13T16:34:30.0,5 minutes,29.927272727272726,0.6890000000000002,401.6363636363636,0.19727272727272727,128.01816363636365,Cloudy,4,5,0.002889250814331323,0.002943009414331156,0.510621067,10.0
2021-03-13T16:44:30.0,2021-03-13T16:44:30.0,5 minutes,29.827272727272728,0.701,401.90909090909093,0.18181818181818182,117.98909090909092,Cloudy,4,5,0.002395209580838868,0.002472721838945696,0.464454105,10.0
2021-03-13T16:54:30.0,2021-03-13T16:54:30.0,5 minutes,29.427272727272726,0.7119090909090908,402.8181818181818,0.17,110.31980000000001,Cloudy,4,5,0.002648026315790431,0.002312488381423106,0.422020898,10.0
2021-03-13T17:04:30.0,2021-03-13T17:04:30.0,5 minutes,29.33636363636364,0.7211818181818181,404.1818181818182,0.16,103.83040000000001,Cloudy,4,5,0.001689768976898254,0.0014862651601537452,0.368776345,10.0
2021-03-13T17:14:30.0,2021-03-13T17:14:30.0,5 minutes,28.86363636363637,0.7324545454545454,404.90909090909093,0.15,97.34100000000001,Cloudy,4,5,0.001322368421052775,0.0017070950363258608,0.320131738,10.0
2021-03-13T17:24:30.0,2021-03-13T17:24:30.0,5 minutes,28.6,0.7484545454545456,405.54545454545456,0.14,90.85160000000002,Cloudy,4,5,0.0018151815181509147,0.0016263986083096247,0.275979138,10.0
2021-03-13T17:34:30.0,2021-03-13T17:34:30.0,5 minutes,28.309090909090912,0.7463636363636366,405.72727272727275,0.13,84.36220000000002,Cloudy,4,5,0.0015230263157901078,0.0012793586424798115,0.240663421,10.0
2021-03-13T17:44:30.0,2021-03-13T17:44:30.0,5 minutes,28.172727272727272,0.7414545454545456,407.1818181818182,0.12,77.8728,Cloudy,4,5,0.0005768025078361809,0.0008309608036010222,0.203991792,10.0
2021-03-13T17:54:30.0,2021-03-13T17:54:30.0,5 minutes,27.800000000000008,0.759090909090909,407.72727272727275,0.11,71.38340000000001,Cloudy,4,5,0.00020408163265380367,-7.03167364416742e-6,0.167441365,10.0
2021-03-13T18:04:30.0,2021-03-13T18:04:30.0,5 minutes,27.427272727272733,0.7594545454545454,408.54545454545456,0.09363636363636363,60.76438181818182,Cloudy,4,5,0.0015132450331121852,0.001372660258006384,0.119129746,10.0
2021-03-13T18:14:30.0,2021-03-13T18:14:30.0,5 minutes,27.063636363636363,0.7753636363636366,409.3636363636364,0.07727272727272727,50.14536363636364,Cloudy,4,5,0.0009900990099015903,0.0010501591172717632,0.068248724,10.0
2021-03-13T18:24:30.0,2021-03-13T18:24:30.0,5 minutes,26.981818181818177,0.7739090909090909,410.09090909090907,0.06,38.9364,Cloudy,4,5,0.0012039473684210048,0.0011686041382823974,0.025224959,10.0
2021-03-13T18:34:30.0,2021-03-13T18:34:30.0,5 minutes,26.427272727272726,0.7879090909090907,410.45454545454544,0.04363636363636363,28.31738181818182,Cloudy,4,5,0.0005980392156862507,0.0007230717730280885,-0.003939582,10.0
2021-03-13T18:44:30.0,2021-03-13T18:44:30.0,5 minutes,26.163636363636364,0.7844545454545454,411.0,0.02727272727272727,17.698363636363638,Cloudy,4,5,0.000323624595470433,0.0002860587981783568,-0.021939179,10.0
2021-03-13T18:54:30.0,2021-03-13T18:54:30.0,5 minutes,25.909090909090914,0.7985454545454544,410.90909090909093,0.01,6.489400000000001,Cloudy,4,5,0.0010297029702966934,0.0007365977497452386,-0.042288831,10.0
2021-03-13T19:04:30.0,2021-03-13T19:04:30.0,5 minutes,25.563636363636363,0.7979999999999998,411.72727272727275,1.0e-9,1.0e-9,Cloudy,4,5,0.00026644736842148343,0.00038922232722931563,-0.100258192,10.0
2021-03-13T19:14:30.0,2021-03-13T19:14:30.0,5 minutes,25.327272727272728,0.8134545454545454,412.3636363636364,1.0e-9,1.0e-9,Cloudy,4,5,0.0006655737704917198,0.0009024508016597086,-0.171477061,10.0
2021-03-13T19:24:30.0,2021-03-13T19:24:30.0,5 minutes,25.0,0.8113636363636364,411.6363636363636,1.0e-9,1.0e-9,Cloudy,4,5,0.0003267973856221039,0.00015581464090763195,-0.215534721,10.0
2021-03-13T19:34:30.0,2021-03-13T19:34:30.0,5 minutes,24.881818181818186,0.7889090909090909,413.6363636363636,1.0e-9,1.0e-9,Cloudy,4,5,-0.0003278145695369539,0.00012204014543929455,-0.24737272,10.0
2021-03-13T19:44:30.0,2021-03-13T19:44:30.0,5 minutes,24.627272727272725,0.8023636363636365,413.6363636363636,1.0e-9,1.0e-9,Cloudy,4,5,-0.00026732673267219876,-0.00039280660260543543,-0.269122474,10.0
